Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
110.txt	{'neg': 0.023, 'neu': 0.856, 'pos': 0.121, 'compound': 0.8989}
111.txt	{'neg': 0.269, 'neu': 0.731, 'pos': 0.0, 'compound': -0.7096}
112.txt	{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.8316}
113.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
114.txt	{'neg': 0.009, 'neu': 0.887, 'pos': 0.104, 'compound': 0.9201}
115.txt	{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.6597}
116.txt	{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.7845}
117.txt	{'neg': 0.183, 'neu': 0.61, 'pos': 0.207, 'compound': 0.0516}
118.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
119.txt	{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.34}
120.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
121.txt	{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.2263}
122.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
123.txt	{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.7003}
124.txt	{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.6154}
125.txt	{'neg': 0.229, 'neu': 0.697, 'pos': 0.074, 'compound': -0.9506}
126.txt	{'neg': 0.215, 'neu': 0.691, 'pos': 0.093, 'compound': -0.6808}
127.txt	{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.8176}
128.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
129.txt	{'neg': 0.161, 'neu': 0.8, 'pos': 0.039, 'compound': -0.9648}
130.txt	{'neg': 0.17, 'neu': 0.722, 'pos': 0.109, 'compound': -0.8399}
131.txt	{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8316}
132.txt	{'neg': 0.11, 'neu': 0.714, 'pos': 0.176, 'compound': 0.296}
133.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
134.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
135.txt	{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.1779}
136.txt	{'neg': 0.097, 'neu': 0.749, 'pos': 0.154, 'compound': 0.4019}
137.txt	{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.6249}
138.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
139.txt	{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.34}
140.txt	{'neg': 0.093, 'neu': 0.907, 'pos': 0.0, 'compound': -0.5859}
141.txt	{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}
142.txt	{'neg': 0.089, 'neu': 0.847, 'pos': 0.064, 'compound': -0.312}
143.txt	{'neg': 0.0, 'neu': 0.977, 'pos': 0.023, 'compound': 0.128}
144.txt	{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.5267}
145.txt	{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6597}
146.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
147.txt	{'neg': 0.045, 'neu': 0.855, 'pos': 0.1, 'compound': 0.4215}
148.txt	{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3182}
149.txt	{'neg': 0.202, 'neu': 0.74, 'pos': 0.057, 'compound': -0.7243}
150.txt	{'neg': 0.038, 'neu': 0.835, 'pos': 0.127, 'compound': 0.6249}
151.txt	{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.6597}
152.txt	{'neg': 0.033, 'neu': 0.875, 'pos': 0.092, 'compound': 0.6369}
153.txt	{'neg': 0.145, 'neu': 0.771, 'pos': 0.085, 'compound': -0.6374}
154.txt	{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.4767}
155.txt	{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.946}
156.txt	{'neg': 0.087, 'neu': 0.859, 'pos': 0.054, 'compound': -0.5859}
